,minerals,,
0,NaPb2(CO3)2(OH),,
1,NiC31H32N4,,
2,Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,,
3,K(UO2)(AsO4)(H2O)3,,
4,Sn21O6(OH)14Cl16,,
5,Pb2SnInBiS7,,
6,CuMn6O8(SiO4),,
7,CaAl2(PO4)2F2,,
8,Ag2S,,
9,CH3CONH2,,
10,FeTiNb2O8,,
11,FeSe,,
12,(K0.5Na0.5)3(Fe0.25Ti0.25Al0.25Mg0.25)5O2(AsO4)5,,
13,(NH4)2.25K2.25Pb2.25Na2.25Fe4(SO4)5Cl8,,
14,Ca2(Mg3.5Fe1.5)Si8O22(OH)2,,
15,SrAlF4(OH)(H2O),,
16,CaFe3Al6(Si5AlO18)(BO3)3(OH)3(OH),,
17,Zn2(AsO4)(OH),,
18,NaY(CO3)2(H2O)6,,
19,Pb2(TeO3)(SO4),,
20,Ca2Al6Al6O20,,
21,CaMg(AsO4)(OH),,
22,MgB6O10(H2O)7,,
23,K(UO2)(SO4)(OH)(H2O),,
24,(NH4)4NaAl2(SO4)4Cl(OH)2,,
25,(NH4)4NaFe2(SO4)4Cl(OH)2,,
26,Ca12(Al4Mg3Si7)O32Cl6,,
27,NaFeSi2O6,,
28,(Ca0.5Na0.5)(Fe0.33Mg0.33Fe0.33)Si2O6,,
29,Na4Fe10Ti2O4Si12O36,,
30,(Ca0.5Na0.5)6(Fe0.25Fe0.25Mg0.25Al0.25)4(Al0.5Mg0.5)6Si12O36(OH)12(CO3)(H2O)12,,
31,Ni8.5(AsO4)2AsO8,,
32,(Ce0.25Ca0.25Fe0.25Th0.25)(Ti0.5Nb0.5)2(O0.5(OH)0.5)6,,
33,(Nd0.33Ln0.33Ca0.33)(Ti0.5Nb0.5)2(O0.5(OH)0.5)6,,
34,(Y0.25Ln0.25Ca0.25Th0.25)(Ti0.5Nb0.5)2(O0.5(OH)0.5)6,,
35,(Na0.5K0.5)22Ca10(Si24Al24)O96(SO4)6Cl6,,
36,Al3(OH)4(H2O)3(PO4)(PO3(OH))(H2O),,
37,Ca3(SiO4)SiO2(OH)2(H2O)2,,
38,Pb3CuTeO5(OH)2(CO3),,
39,YCaKBe3Si12O30,,
40,CeCu6(AsO4)3(OH)6(H2O)3,,
41,LaCu6(AsO4)3(OH)6(H2O)3,,
42,NdCu6(AsO4)3(OH)6(H2O)3,,
43,YCu6(AsO4)3(OH)6(H2O)3,,
44,Ag2MnSnS4,,
45,NaCa2Si4O10F,,
46,K4(UO2)(CO3)3,,
47,K2Ca(UO2)6.0O6.0(OH)4.0(H2O)5,,
48,Ag4SeS,,
49,FeAl6(PO4)4(OH)8(H2O)4,,
50,Ni(SeO3)(H2O)2,,
51,SiFe2O4,,
52,CuPbBiS3,,
53,Na2(Na2Bi)(SO4)3Cl,,
54,Sr(VO)2(PO4)2(H2O)4,,
55,K3Cu20Al3Si29O76(OH)16(H2O)8,,
56,(Fe0.5Ni0.5)8((OH)0.5O0.5)16Cl1.25(H2O),,
57,TiO2,,
58,Mn9Al2Si8O24(OH)8,,
59,Al10O14(OH)2,,
60,Ca2MgSi2O7,,
61,MnO2,,
62,MgSiO3,,
63,Ca4Si2O5(OH)2(OH)4(H2O)5,,
64,Al4Li2(OH)12(CO3)(H2O)3,,
65,Mn5(AsO4)2(OH)4(H2O)4,,
66,MgB6O7(OH)6(H2O)2,,
67,Cu6Hg3As4S12,,
68,MnS,,
69,As8S9,,
70,PbSiO3,,
71,Al(AsO4),,
72,Fe(SO3)(H2O)3,,
73,Na(AlSi3O8),,
74,MgCa4F2U2O4.0(CO3)6.0(H2O)17.5,,
