,element,PNAS_en,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,pressure_pow_2,atom_s_pow_2,atom_p_pow_2,atom_d_pow_2,atom_f_pow_2,ionization_energy_pow_2,mass_pow_2,en_pow_2,row_pow_2,pseudo_row_pow_2,group_pow_2,atomic_number_pow_2,pressure_log_p_abs,atom_s_log_p_abs,atom_p_log_p_abs,atom_d_log_p_abs,atom_f_log_p_abs,ionization_energy_log_p_abs,mass_log_p_abs,en_log_p_abs,row_log_p_abs,pseudo_row_log_p_abs,group_log_p_abs,atomic_number_log_p_abs,pressure_inv_p,atom_s_inv_p,atom_p_inv_p,atom_d_inv_p,atom_f_inv_p,ionization_energy_inv_p,mass_inv_p,en_inv_p,row_inv_p,pseudo_row_inv_p,group_inv_p,atomic_number_inv_p,pressure_sqrt_p,atom_s_sqrt_p,atom_p_sqrt_p,atom_d_sqrt_p,atom_f_sqrt_p,ionization_energy_sqrt_p,mass_sqrt_p,en_sqrt_p,row_sqrt_p,pseudo_row_sqrt_p,group_sqrt_p,atomic_number_sqrt_p,"add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))))","add(add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))))","add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))))))","add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))","add(add(pressure_inv_p, en_sqrt_p), add(add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))), en_sqrt_p))))","add(add(pressure_inv_p, en_sqrt_p), add(add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))"
0,H,4.32,0,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,0.0,1.0,0.0,0.0,0.0,94.17732025,0.0,2.250000000000001,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,2.37066421380464,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0934186557055444,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,3.2717732195248495,1.0,1.5811388300841898,1.0,1.0,1.0,1.0,7.74341649025257,10.32455532033676,11.32455532033676,12.905694150420949,8.74341649025257,13.905694150420949,6.74341649025257,10.905694150420949,16.486832980505138,11.905694150420949
1,H,1.35,50,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,2500.0,1.0,0.0,0.0,0.0,94.17732025,0.0,2.250000000000001,0.0,0.0,0.0,0.0,3.9318256327243257,0.6931471805599453,0.0,0.0,0.0,2.37066421380464,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0196078431372549,0.5,1.0,1.0,1.0,0.0934186557055444,1.0,0.4,1.0,1.0,1.0,1.0,7.14142842854285,1.4142135623730951,1.0,1.0,1.0,3.2717732195248495,1.0,1.5811388300841898,1.0,1.0,1.0,1.0,5.78263217652708,7.383378849748524,8.383378849748524,9.964517679832714,6.78263217652708,9.984125522969968,4.782632176527079,7.9645176798327135,11.584872196191412,8.964517679832714
2,H,0.67,200,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,40000.0,1.0,0.0,0.0,0.0,94.17732025,0.0,2.250000000000001,0.0,0.0,0.0,0.0,5.303304908059076,0.6931471805599453,0.0,0.0,0.0,2.37066421380464,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.004975124378109453,0.5,1.0,1.0,1.0,0.0934186557055444,1.0,0.4,1.0,1.0,1.0,1.0,14.177446878757825,1.4142135623730951,1.0,1.0,1.0,3.2717732195248495,1.0,1.5811388300841898,1.0,1.0,1.0,1.0,5.753366739008789,7.339480693471089,8.339480693471089,9.920619523555278,6.753366739008789,9.925594647933387,4.753366739008788,7.920619523555278,11.511708602395686,8.920619523555278
3,H,0.36,500,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,250000.0,1.0,0.0,0.0,0.0,94.17732025,0.0,2.250000000000001,0.0,0.0,0.0,0.0,6.2166061010848646,0.6931471805599453,0.0,0.0,0.0,2.37066421380464,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.001996007984031936,0.5,1.0,1.0,1.0,0.0934186557055444,1.0,0.4,1.0,1.0,1.0,1.0,22.38302928559939,1.4142135623730951,1.0,1.0,1.0,3.2717732195248495,1.0,1.5811388300841898,1.0,1.0,1.0,1.0,5.7474085062206335,7.330543344288854,8.330543344288856,9.911682174373045,6.7474085062206335,9.913678182357078,4.7474085062206335,7.911682174373045,11.4968130204253,8.911682174373045
4,He,6.14,0,2,0,0,0,24.5874,4.002602,3.89,1,1,18,2,0.0,4.0,0.0,0.0,0.0,428.22094225,8.968000494244002,10.176100000000002,0.0,0.0,289.0,1.0,0.0,1.0986122886681098,0.0,0.0,0.0,3.077012676505089,1.3849589698817726,1.4327007339340465,0.0,0.0,2.8903717578961645,0.6931471805599453,1.0,0.3333333333333333,1.0,1.0,1.0,0.0460967570931385,0.2503340708175059,0.2386634844868735,1.0,1.0,0.05555555555555555,0.5,1.0,1.7320508075688772,1.0,1.0,1.0,4.657628151752778,1.9986650544801148,2.046948949045872,1.0,1.0,4.242640687119285,1.4142135623730951,8.640846847137617,11.687795796183488,12.187795796183488,14.23474474522936,9.140846847137617,15.23474474522936,8.140846847137617,13.23474474522936,18.281693694275233,13.73474474522936
5,He,1.14,50,2,0,0,0,24.5874,4.002602,3.89,1,1,18,2,2500.0,4.0,0.0,0.0,0.0,428.22094225,8.968000494244002,10.176100000000002,0.0,0.0,289.0,1.0,3.9318256327243257,1.0986122886681098,0.0,0.0,0.0,3.077012676505089,1.3849589698817726,1.4327007339340465,0.0,0.0,2.8903717578961645,0.6931471805599453,0.0196078431372549,0.3333333333333333,1.0,1.0,1.0,0.0460967570931385,0.2503340708175059,0.2386634844868735,1.0,1.0,0.05555555555555555,0.5,7.14142842854285,1.7320508075688772,1.0,1.0,1.0,4.657628151752778,1.9986650544801148,2.046948949045872,1.0,1.0,4.242640687119285,1.4142135623730951,6.680062533412126,8.746619325595253,9.246619325595253,11.293568274641125,7.180062533412126,11.31317611777838,6.180062533412126,10.293568274641125,13.379732909961506,10.793568274641125
6,He,0.49,200,2,0,0,0,24.5874,4.002602,3.89,1,1,18,2,40000.0,4.0,0.0,0.0,0.0,428.22094225,8.968000494244002,10.176100000000002,0.0,0.0,289.0,1.0,5.303304908059076,1.0986122886681098,0.0,0.0,0.0,3.077012676505089,1.3849589698817726,1.4327007339340465,0.0,0.0,2.8903717578961645,0.6931471805599453,0.004975124378109453,0.3333333333333333,1.0,1.0,1.0,0.0460967570931385,0.2503340708175059,0.2386634844868735,1.0,1.0,0.05555555555555555,0.5,14.177446878757825,1.7320508075688772,1.0,1.0,1.0,4.657628151752778,1.9986650544801148,2.046948949045872,1.0,1.0,4.242640687119285,1.4142135623730951,6.650797095893836,8.702721169317817,9.202721169317817,11.249670118363689,7.150797095893836,11.254645242741798,6.150797095893836,10.249670118363689,13.30656931616578,10.749670118363689
7,He,0.2,500,2,0,0,0,24.5874,4.002602,3.89,1,1,18,2,250000.0,4.0,0.0,0.0,0.0,428.22094225,8.968000494244002,10.176100000000002,0.0,0.0,289.0,1.0,6.2166061010848646,1.0986122886681098,0.0,0.0,0.0,3.077012676505089,1.3849589698817726,1.4327007339340465,0.0,0.0,2.8903717578961645,0.6931471805599453,0.001996007984031936,0.3333333333333333,1.0,1.0,1.0,0.0460967570931385,0.2503340708175059,0.2386634844868735,1.0,1.0,0.05555555555555555,0.5,22.38302928559939,1.7320508075688772,1.0,1.0,1.0,4.657628151752778,1.9986650544801148,2.046948949045872,1.0,1.0,4.242640687119285,1.4142135623730951,6.64483886310568,8.693783820135586,9.193783820135584,11.240732769181456,7.14483886310568,11.242728777165489,6.14483886310568,10.240732769181456,13.291673734195392,10.740732769181456
8,Li,0.06,0,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,0.0,1.0,0.0,0.0,0.0,2.2434048400000006,35.201200963599995,0.07840000000000001,1.0,1.0,0.0,4.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.9154103444468478,1.9363012741851295,0.2468600779315258,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,1.0,0.5,1.0,1.0,1.0,0.40035231003282884,0.14423645547564856,0.78125,0.5,0.5,1.0,0.3333333333333333,1.0,1.4142135623730951,1.0,1.0,1.0,1.580442975877333,2.633070451013417,1.131370849898476,1.4142135623730951,1.4142135623730951,1.0,1.7320508075688772,5.727445883028762,7.858816732927238,8.19215006626057,9.323520916159048,6.060779216362095,10.323520916159048,5.3941125496954285,8.65685424949238,12.454891766057523,8.990187582825714
9,Li,-7.14,50,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,2500.0,1.0,0.0,0.0,0.0,2.2434048400000006,35.201200963599995,0.07840000000000001,1.0,1.0,0.0,4.0,3.9318256327243257,0.6931471805599453,0.0,0.0,0.0,0.9154103444468478,1.9363012741851295,0.2468600779315258,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.0196078431372549,0.5,1.0,1.0,1.0,0.40035231003282884,0.14423645547564856,0.78125,0.5,0.5,1.0,0.3333333333333333,7.14142842854285,1.4142135623730951,1.0,1.0,1.0,1.580442975877333,2.633070451013417,1.131370849898476,1.4142135623730951,1.4142135623730951,1.0,1.7320508075688772,3.7666615693032712,4.9176402623390025,5.250973595672335,6.382344445570812,4.099994902636604,6.401952288708067,3.4333282359699377,5.715677778904144,7.552930981743797,6.049011112237478
