,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,PNAS_en,element
0,0,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,4.32,H
1,50,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,1.35,H
2,200,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,0.67,H
3,500,1,0,0,0,13.5984,1.00794,2.2,1,1,1,1,0.36,H
4,0,2,0,0,0,24.5874,4.0026019999999995,3.89,1,1,18,2,6.14,He
5,50,2,0,0,0,24.5874,4.0026019999999995,3.89,1,1,18,2,1.14,He
6,200,2,0,0,0,24.5874,4.0026019999999995,3.89,1,1,18,2,0.49,He
7,500,2,0,0,0,24.5874,4.0026019999999995,3.89,1,1,18,2,0.2,He
8,0,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,0.06,Li
9,50,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,-7.14,Li
10,200,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,-8.06,Li
11,500,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,-7.88,Li
12,0,2,0,0,0,9.3227,9.012182000000001,1.57,2,2,2,4,1.42,Be
13,50,2,0,0,0,9.3227,9.012182000000001,1.57,2,2,2,4,-3.66,Be
14,200,2,0,0,0,9.3227,9.012182000000001,1.57,2,2,2,4,-6.03,Be
15,500,2,0,0,0,9.3227,9.012182000000001,1.57,2,2,2,4,-6.71,Be
16,0,2,1,0,0,8.298,10.811,2.04,2,2,13,5,1.6,B
17,50,2,1,0,0,8.298,10.811,2.04,2,2,13,5,-2.2,B
18,200,2,1,0,0,8.298,10.811,2.04,2,2,13,5,-3.77,B
19,500,2,1,0,0,8.298,10.811,2.04,2,2,13,5,-4.6,B
20,0,2,2,0,0,11.2603,12.0107,2.55,2,2,14,6,3.69,C
21,50,2,2,0,0,11.2603,12.0107,2.55,2,2,14,6,0.61,C
22,200,2,2,0,0,11.2603,12.0107,2.55,2,2,14,6,-0.7,C
23,500,2,2,0,0,11.2603,12.0107,2.55,2,2,14,6,-1.56,C
24,0,2,3,0,0,14.5341,14.0067,3.04,2,2,15,7,4.38,N
25,50,2,3,0,0,14.5341,14.0067,3.04,2,2,15,7,1.75,N
26,200,2,3,0,0,14.5341,14.0067,3.04,2,2,15,7,0.81,N
27,500,2,3,0,0,14.5341,14.0067,3.04,2,2,15,7,0.23,N
28,0,2,4,0,0,13.6181,15.9994,3.44,2,2,16,8,4.8,O
29,50,2,4,0,0,13.6181,15.9994,3.44,2,2,16,8,2.75,O
30,200,2,4,0,0,13.6181,15.9994,3.44,2,2,16,8,2.23,O
31,500,2,4,0,0,13.6181,15.9994,3.44,2,2,16,8,1.97,O
